* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -41,1 dBFS, measurement signal peak level -6,4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:36:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LLP - Sub 1.5 Delay -3,3319 ms (-1,143 m, -(3 ft 9 in)) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,7 ppm
* Measurement: LLP - Sub1.5
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 72.079 67.9680
10.253906 72.697 47.2016
10.620117 72.608 28.5429
10.986328 72.012 12.6877
11.352539 70.932 1.0602
11.718750 69.580 -4.0080
12.084961 68.642 -0.9193
12.451172 68.969 6.1292
12.817383 70.297 10.0793
13.183594 71.853 10.2703
13.549805 73.444 9.0435
13.916016 75.244 6.9800
14.282227 77.309 2.6861
14.648438 79.434 -5.0168
15.014648 81.356 -15.9350
15.380859 82.908 -29.0955
15.747070 84.024 -43.4136
16.113281 84.688 -57.8902
16.479492 84.928 -71.5780
16.845703 84.816 -83.5354
17.211914 84.499 -92.9450
17.578125 84.220 -99.6100
17.944336 84.217 -104.6335
18.310547 84.527 -110.0888
18.676758 84.943 -117.4225
19.042969 85.204 -126.6667
19.409180 85.134 -136.9669
19.775391 84.652 -147.1593
20.141602 83.752 -155.9518
20.507812 82.525 -161.9737
20.874023 81.201 -164.1517
21.240234 80.121 -162.7575
21.606445 79.462 -159.8638
21.972656 79.042 -157.1300
22.338867 78.632 -153.7102
22.705078 78.389 -147.5570
23.071289 78.866 -139.3353
23.437500 80.213 -133.9141
23.803711 81.829 -134.2880
24.169922 83.157 -139.3256
24.536133 83.979 -146.8049
24.902344 84.264 -154.8108
25.268555 84.076 -161.7592
25.634766 83.571 -166.3542
26.000977 83.011 -167.9997
26.367188 82.668 -167.5225
26.733398 82.597 -166.8095
27.099609 82.600 -166.9137
27.465820 82.479 -167.1337
27.832031 82.249 -165.8899
28.198242 82.184 -162.3595
28.564453 82.594 -158.0208
28.930664 83.425 -155.6350
29.296875 84.324 -156.2884
29.663086 85.009 -159.0657
30.029297 85.394 -162.4449
30.395508 85.546 -165.1578
30.761719 85.622 -166.6090
31.127930 85.786 -167.1256
31.494141 86.095 -167.6953
31.860352 86.470 -169.1435
32.226562 86.776 -171.5788
32.592773 86.914 -174.5127
32.958984 86.848 -177.2045
33.325195 86.605 -178.8861
33.691406 86.273 -178.8955
34.057617 86.002 -176.8967
34.423828 85.980 -173.2672
34.790039 86.326 -169.2832
35.156250 86.986 -166.4726
35.522461 87.773 -165.6187
35.888672 88.505 -166.5390
36.254883 89.071 -168.5156
36.621094 89.445 -170.7126
36.987305 89.666 -172.4170
37.353516 89.820 -173.2094
37.719727 90.007 -173.0943
38.085938 90.297 -172.4679
38.452148 90.698 -171.8453
38.818359 91.174 -171.5435
39.184570 91.684 -171.5999
39.550781 92.207 -171.9149
39.916992 92.747 -172.4200
40.283203 93.306 -173.1329
40.649414 93.882 -174.1044
41.015625 94.466 -175.3489
41.381836 95.054 -176.8381
41.748047 95.650 -178.5614
42.114258 96.262 179.4135
42.480469 96.884 176.9474
42.846680 97.492 173.9146
43.212891 98.048 170.3034
43.579102 98.513 166.2657
43.945312 98.866 162.0944
44.311523 99.110 158.1488
44.677734 99.285 154.7417
45.043945 99.452 152.0001
45.410156 99.680 149.7521
45.776367 100.005 147.5565
46.142578 100.410 144.9234
46.508789 100.837 141.5749
46.875000 101.221 137.5415
47.241211 101.520 133.0744
47.607422 101.725 128.4887
47.973633 101.857 124.0220
48.339844 101.949 119.7449
48.706055 102.026 115.5526
49.072266 102.091 111.2522
49.438477 102.121 106.6994
49.804688 102.081 101.8963
50.170898 101.940 97.0017
50.537109 101.685 92.2730
50.903320 101.323 87.9826
51.269531 100.880 84.3426
51.635742 100.390 81.4584
52.001953 99.887 79.3292
52.368164 99.393 77.8958
52.734375 98.922 77.1059
53.100586 98.485 76.9512
53.466797 98.101 77.4518
53.833008 97.802 78.6006
54.199219 97.629 80.2858
54.565430 97.625 82.2178
54.931641 97.807 83.9154
55.297852 98.155 84.8230
55.664062 98.598 84.5231
56.030273 99.046 82.8917
56.396484 99.419 80.0986
56.762695 99.660 76.5012
57.128906 99.746 72.5266
57.495117 99.679 68.5805
57.861328 99.486 64.9805
58.227539 99.205 61.9120
58.593750 98.875 59.4146
58.959961 98.523 57.4188
59.326172 98.161 55.8235
59.692383 97.788 54.5716
60.058594 97.403 53.6730
60.424805 97.010 53.1692
60.791016 96.621 53.0750
61.157227 96.246 53.3519
61.523438 95.883 53.9418
61.889648 95.524 54.8403
62.255859 95.157 56.1520
62.622070 94.787 58.0818
62.988281 94.442 60.8572
63.354492 94.177 64.6092
63.720703 94.063 69.2657
64.086914 94.163 74.5109
64.453125 94.520 79.8245
64.819336 95.137 84.5756
65.185547 95.974 88.1537
65.551758 96.952 90.1280
65.917969 97.973 90.3563
66.284180 98.951 88.9777
66.650391 99.821 86.3141
67.016602 100.551 82.7597
67.382812 101.132 78.6976
67.749023 101.576 74.4465
68.115234 101.906 70.2285
68.481445 102.150 66.1556
68.847656 102.334 62.2408
69.213867 102.472 58.4375
69.580078 102.567 54.6947
69.946289 102.615 51.0018
70.312500 102.612 47.4027
70.678711 102.557 43.9769
71.044922 102.460 40.8029
71.411133 102.335 37.9230
71.777344 102.197 35.3285
72.143555 102.057 32.9705
72.509766 101.917 30.7899
72.875977 101.778 28.7462
73.242188 101.637 26.8280
73.608398 101.494 25.0436
73.974609 101.352 23.4008
74.340820 101.216 21.8919
74.707031 101.090 20.4910
75.073242 100.974 19.1632
75.439453 100.867 17.8785
75.805664 100.766 16.6212
76.171875 100.669 15.3915
76.538086 100.573 14.2008
76.904297 100.479 13.0633
77.270508 100.391 11.9869
77.636719 100.310 10.9667
78.002930 100.239 9.9831
78.369141 100.181 9.0067
78.735352 100.132 8.0077
79.101562 100.088 6.9679
79.467773 100.045 5.8884
79.833984 99.998 4.7916
80.200195 99.946 3.7136
80.566406 99.892 2.6912
80.932617 99.841 1.7465
81.298828 99.800 0.8763
81.665039 99.777 0.0504
82.031250 99.774 -0.7781
82.397461 99.790 -1.6564
82.763672 99.824 -2.6216
83.129883 99.871 -3.6978
83.496094 99.929 -4.9037
83.862305 99.994 -6.2593
84.228516 100.063 -7.7848
84.594727 100.129 -9.4927
84.960938 100.185 -11.3795
85.327148 100.227 -13.4251
85.693359 100.250 -15.6005
86.059570 100.254 -17.8802
86.425781 100.240 -20.2495
86.791992 100.205 -22.7029
87.158203 100.150 -25.2371
87.524414 100.073 -27.8452
87.890625 99.970 -30.5181
88.256836 99.840 -33.2496
88.623047 99.680 -36.0371
88.989258 99.482 -38.8708
89.355469 99.238 -41.7113
89.721680 98.938 -44.4694
90.087891 98.579 -47.0015
90.454102 98.170 -49.1326
90.820312 97.736 -50.7106
91.186523 97.317 -51.6796
91.552734 96.956 -52.1401
91.918945 96.682 -52.3472
92.285156 96.499 -52.6221
92.651367 96.384 -53.2300
93.017578 96.300 -54.3030
93.383789 96.214 -55.8419
93.750000 96.098 -57.7621
94.116211 95.936 -59.9386
94.482422 95.721 -62.2324
94.848633 95.454 -64.5046
95.214844 95.143 -66.6334
95.581055 94.808 -68.5377
95.947266 94.470 -70.2050
96.313477 94.149 -71.7058
96.679688 93.859 -73.1784
97.045898 93.599 -74.7838
97.412109 93.355 -76.6544
97.778320 93.110 -78.8641
98.144531 92.844 -81.4291
98.510742 92.543 -84.3284
98.876953 92.193 -87.5266
99.243164 91.786 -90.9883
99.609375 91.315 -94.6835
99.975586 90.772 -98.5862
100.341797 90.151 -102.6744
100.708008 89.447 -106.9335
101.074219 88.653 -111.3650
101.440430 87.764 -116.0005
101.806641 86.775 -120.9169
102.172852 85.674 -126.2513
102.539062 84.444 -132.2159
102.905273 83.061 -139.1221
103.271484 81.500 -147.4357
103.637695 79.753 -157.8851
104.003906 77.881 -171.5975
104.370117 76.128 170.0710
104.736328 75.036 147.1030
105.102539 75.094 123.3167
105.468750 76.074 103.6870
105.834961 77.390 89.4339
106.201172 78.693 79.2965
106.567383 79.867 71.8756
106.933594 80.898 66.2147
107.299805 81.798 61.7200
107.666016 82.582 58.0266
108.032227 83.267 54.9128
108.398438 83.863 52.2531
108.764648 84.382 49.9885
109.130859 84.837 48.1004
109.497070 85.243 46.5828
109.863281 85.617 45.4155
110.229492 85.978 44.5500
110.595703 86.338 43.9081
110.961914 86.706 43.3967
111.328125 87.085 42.9244
111.694336 87.473 42.4155
112.060547 87.864 41.8146
112.426758 88.252 41.0886
112.792969 88.630 40.2266
113.159180 88.991 39.2419
113.525391 89.329 38.1684
113.891602 89.644 37.0508
114.257812 89.939 35.9296
114.624023 90.219 34.8238
114.990234 90.490 33.7242
115.356445 90.756 32.5987
115.722656 91.013 31.4123
116.088867 91.257 30.1496
116.455078 91.480 28.8281
116.821289 91.679 27.4944
117.187500 91.854 26.2067
117.553711 92.010 25.0126
117.919922 92.157 23.9335
118.286133 92.300 22.9625
118.652344 92.447 22.0750
119.018555 92.598 21.2437
119.384766 92.756 20.4476
119.750977 92.920 19.6730
120.117188 93.091 18.9070
120.483398 93.270 18.1335
120.849609 93.457 17.3321
121.215820 93.652 16.4824
121.582031 93.852 15.5675
121.948242 94.055 14.5754
122.314453 94.257 13.5002
122.680664 94.457 12.3423
123.046875 94.650 11.1104
123.413086 94.835 9.8209
123.779297 95.012 8.4952
124.145508 95.180 7.1532
124.511719 95.344 5.8073
124.877930 95.506 4.4595
125.244141 95.668 3.1021
125.610352 95.834 1.7197
125.976562 96.004 0.2917
126.342773 96.178 -1.2070
126.708984 96.354 -2.8040
127.075195 96.531 -4.5240
127.441406 96.701 -6.3817
127.807617 96.858 -8.3756
128.173828 96.998 -10.4871
128.540039 97.115 -12.6843
128.906250 97.209 -14.9290
129.272461 97.278 -17.1833
129.638672 97.325 -19.4141
130.004883 97.353 -21.5950
130.371094 97.366 -23.7081
130.737305 97.368 -25.7464
131.103516 97.365 -27.7143
131.469727 97.359 -29.6263
131.835938 97.352 -31.5009
132.202148 97.346 -33.3551
132.568359 97.339 -35.2007
132.934570 97.332 -37.0473
133.300781 97.326 -38.9073
133.666992 97.320 -40.8000
134.033203 97.314 -42.7484
134.399414 97.304 -44.7709
134.765625 97.285 -46.8741
135.131836 97.252 -49.0494
135.498047 97.203 -51.2780
135.864258 97.137 -53.5394
136.230469 97.052 -55.8185
136.596680 96.949 -58.1064
136.962891 96.826 -60.3970
137.329102 96.682 -62.6794
137.695312 96.515 -64.9348
138.061523 96.324 -67.1366
138.427734 96.108 -69.2546
138.793945 95.870 -71.2603
139.160156 95.612 -73.1296
139.526367 95.338 -74.8441
139.892578 95.050 -76.3901
140.258789 94.753 -77.7582
140.625000 94.449 -78.9415
140.991211 94.142 -79.9359
141.357422 93.836 -80.7397
141.723633 93.534 -81.3544
142.089844 93.240 -81.7841
142.456055 92.956 -82.0367
142.822266 92.686 -82.1222
143.188477 92.433 -82.0500
143.554688 92.198 -81.8275
143.920898 91.986 -81.4597
144.287109 91.799 -80.9551
144.653320 91.644 -80.3317
145.019531 91.525 -79.6220
145.385742 91.446 -78.8704
145.751953 91.408 -78.1257
146.118164 91.411 -77.4330
146.484375 91.454 -76.8350
146.850586 91.538 -76.3783
147.216797 91.660 -76.1196
147.583008 91.815 -76.1230
147.949219 91.996 -76.4458
148.315430 92.189 -77.1231
148.681641 92.383 -78.1600
149.047852 92.567 -79.5367
149.414062 92.733 -81.2217
149.780273 92.876 -83.1833
150.146484 92.991 -85.3948
150.512695 93.074 -87.8338
150.878906 93.120 -90.4769
151.245117 93.124 -93.2961
151.611328 93.083 -96.2581
151.977539 92.990 -99.3219
152.343750 92.843 -102.4390
152.709961 92.640 -105.5522
153.076172 92.380 -108.5999
153.442383 92.065 -111.5247
