* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -41,0 dBFS, measurement signal peak level -9,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:37:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LLP - Sub 1S Delay 5,3349 ms (1,830 m, 6 ft) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,9 ppm
* Measurement: LLP - Sub1S
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 86.186 -15.4099
10.253906 86.310 -38.9849
10.620117 85.747 -60.1334
10.986328 84.730 -78.1380
11.352539 83.326 -91.8076
11.718750 81.753 -99.5038
12.084961 80.535 -100.3387
12.451172 80.307 -97.1162
12.817383 81.046 -95.2337
13.183594 82.202 -96.7900
13.549805 83.433 -100.8499
13.916016 84.675 -106.4039
14.282227 85.946 -113.2322
14.648438 87.223 -121.5680
15.014648 88.428 -131.5851
15.380859 89.464 -143.1567
15.747070 90.248 -155.8891
16.113281 90.724 -169.2312
16.479492 90.862 177.4647
16.845703 90.659 164.9381
17.211914 90.156 154.0273
17.578125 89.461 145.5740
17.944336 88.782 140.0264
18.310547 88.369 136.7269
18.676758 88.333 133.8170
19.042969 88.530 129.6067
19.409180 88.711 123.7670
19.775391 88.701 117.0583
20.141602 88.444 110.6332
20.507812 87.999 105.6136
20.874023 87.529 102.7181
21.240234 87.260 101.7171
21.606445 87.329 101.2359
21.972656 87.666 99.6992
22.338867 88.069 96.5138
22.705078 88.368 92.1243
23.071289 88.498 87.4169
23.437500 88.489 83.2324
23.803711 88.444 80.0311
24.169922 88.484 77.6492
24.536133 88.673 75.3681
24.902344 88.967 72.4321
25.268555 89.262 68.5646
25.634766 89.462 64.0239
26.000977 89.529 59.3403
26.367188 89.476 55.0402
26.733398 89.359 51.4549
27.099609 89.244 48.6208
27.465820 89.180 46.3120
27.832031 89.177 44.2185
28.198242 89.213 42.1568
28.564453 89.265 40.1553
28.930664 89.334 38.3625
29.296875 89.451 36.8496
29.663086 89.657 35.4385
30.029297 89.963 33.7156
30.395508 90.326 31.2808
30.761719 90.668 28.0291
31.127930 90.919 24.2288
31.494141 91.053 20.3828
31.860352 91.101 16.9851
32.226562 91.139 14.2538
32.592773 91.246 11.9633
32.958984 91.445 9.5730
33.325195 91.691 6.6288
33.691406 91.908 3.0670
34.057617 92.041 -0.8239
34.423828 92.084 -4.6464
34.790039 92.068 -8.1263
35.156250 92.032 -11.2174
35.522461 92.000 -14.0348
35.888672 91.974 -16.6871
36.254883 91.944 -19.1668
36.621094 91.917 -21.3965
36.987305 91.913 -23.3608
37.353516 91.951 -25.1749
37.719727 92.029 -27.0087
38.085938 92.128 -28.9498
38.452148 92.232 -30.9564
38.818359 92.339 -32.9388
39.184570 92.461 -34.8717
39.550781 92.603 -36.8175
39.916992 92.760 -38.8510
40.283203 92.920 -40.9762
40.649414 93.074 -43.1317
41.015625 93.226 -45.2585
41.381836 93.378 -47.3385
41.748047 93.528 -49.3433
42.114258 93.678 -51.1632
42.480469 93.847 -52.6353
42.846680 94.087 -53.7233
43.212891 94.454 -54.7102
43.579102 94.958 -56.1462
43.945312 95.543 -58.4971
44.311523 96.124 -61.8357
44.677734 96.638 -65.8572
45.043945 97.073 -70.1193
45.410156 97.464 -74.3019
45.776367 97.863 -78.3616
46.142578 98.306 -82.5070
46.508789 98.793 -87.0132
46.875000 99.302 -92.0376
47.241211 99.813 -97.5956
47.607422 100.320 -103.6748
47.973633 100.824 -110.3514
48.339844 101.316 -117.7958
48.706055 101.762 -126.1700
49.072266 102.111 -135.5095
49.438477 102.311 -145.6763
49.804688 102.321 -156.3854
50.170898 102.121 -167.2627
50.537109 101.714 -177.9023
50.903320 101.128 172.0770
51.269531 100.411 162.9647
51.635742 99.633 154.8788
52.001953 98.863 147.7084
52.368164 98.149 141.1437
52.734375 97.510 134.8083
53.100586 96.938 128.4012
53.466797 96.424 121.7287
53.833008 95.963 114.6256
54.199219 95.553 106.8679
54.565430 95.182 98.1723
54.931641 94.814 88.2845
55.297852 94.406 77.0749
55.664062 93.913 64.5781
56.030273 93.306 50.9739
56.396484 92.578 36.5532
56.762695 91.741 21.6922
57.128906 90.831 6.8372
57.495117 89.902 -7.5239
57.861328 89.023 -20.9277
58.227539 88.267 -33.0463
58.593750 87.693 -43.7908
58.959961 87.325 -53.3123
59.326172 87.141 -61.8599
59.692383 87.093 -69.6011
60.058594 87.133 -76.5568
60.424805 87.240 -82.6783
60.791016 87.415 -87.9791
61.157227 87.672 -92.6168
61.523438 88.015 -96.8638
61.889648 88.424 -100.9880
62.255859 88.869 -105.1395
62.622070 89.324 -109.3235
62.988281 89.776 -113.4590
63.354492 90.236 -117.4766
63.720703 90.725 -121.4048
64.086914 91.260 -125.4053
64.453125 91.846 -129.7294
64.819336 92.459 -134.6185
65.185547 93.062 -140.2095
65.551758 93.614 -146.4998
65.917969 94.080 -153.3728
66.284180 94.439 -160.6471
66.650391 94.681 -168.1211
67.016602 94.809 -175.6049
67.382812 94.835 177.0608
67.749023 94.776 169.9880
68.115234 94.654 163.2280
68.481445 94.489 156.7623
68.847656 94.297 150.5096
69.213867 94.080 144.3591
69.580078 93.830 138.2222
69.946289 93.528 132.0815
70.312500 93.160 126.0085
70.678711 92.717 120.1445
71.044922 92.208 114.6487
71.411133 91.653 109.6335
71.777344 91.079 105.1165
72.143555 90.511 101.0127
72.509766 89.956 97.1843
72.875977 89.410 93.5139
73.242188 88.865 89.9519
73.608398 88.310 86.5083
73.974609 87.747 83.2101
74.340820 87.178 80.0601
74.707031 86.605 77.0295
75.073242 86.027 74.0776
75.439453 85.436 71.1770
75.805664 84.824 68.3301
76.171875 84.180 65.5767
76.538086 83.496 63.0010
76.904297 82.770 60.7354
77.270508 82.013 58.9387
77.636719 81.255 57.7314
78.002930 80.537 57.1025
78.369141 79.895 56.8584
78.735352 79.338 56.6956
79.101562 78.847 56.3757
79.467773 78.394 55.8470
79.833984 77.969 55.2021
80.200195 77.591 54.5042
80.566406 77.294 53.6229
80.932617 77.099 52.2158
81.298828 76.990 49.8807
81.665039 76.928 46.3422
82.031250 76.871 41.5118
82.397461 76.793 35.4261
82.763672 76.695 28.1562
83.129883 76.593 19.7655
83.496094 76.519 10.3246
83.862305 76.515 -0.0447
84.228516 76.628 -11.1329
84.594727 76.904 -22.6489
84.960938 77.370 -34.2787
85.327148 78.028 -45.7661
85.693359 78.849 -56.9628
86.059570 79.783 -67.8149
86.425781 80.771 -78.3140
86.791992 81.762 -88.4540
87.158203 82.717 -98.2233
87.524414 83.616 -107.6169
87.890625 84.448 -116.6530
88.256836 85.209 -125.3727
88.623047 85.893 -133.8217
88.989258 86.494 -142.0234
89.355469 87.007 -149.9591
89.721680 87.431 -157.5684
90.087891 87.772 -164.7725
90.454102 88.047 -171.5090
90.820312 88.277 -177.7654
91.186523 88.482 176.4084
91.552734 88.677 170.9144
91.918945 88.867 165.6392
92.285156 89.053 160.4847
92.651367 89.229 155.3783
93.017578 89.390 150.2655
93.383789 89.527 145.1024
93.750000 89.630 139.8632
94.116211 89.683 134.5593
94.482422 89.672 129.2573
94.848633 89.588 124.0773
95.214844 89.431 119.1719
95.581055 89.212 114.6865
95.947266 88.952 110.7191
96.313477 88.677 107.2947
96.679688 88.407 104.3698
97.045898 88.156 101.8668
97.412109 87.932 99.7136
97.778320 87.739 97.8593
98.144531 87.583 96.2587
98.510742 87.474 94.8463
98.876953 87.414 93.5284
99.243164 87.402 92.2031
99.609375 87.431 90.7913
99.975586 87.491 89.2501
100.341797 87.575 87.5607
100.708008 87.678 85.7068
101.074219 87.795 83.6653
101.440430 87.918 81.4160
101.806641 88.037 78.9601
102.172852 88.143 76.3290
102.539062 88.232 73.5764
102.905273 88.305 70.7562
103.271484 88.364 67.9005
103.637695 88.417 65.0100
104.003906 88.465 62.0608
104.370117 88.508 59.0231
104.736328 88.539 55.8823
105.102539 88.553 52.6506
105.468750 88.546 49.3647
105.834961 88.519 46.0732
106.201172 88.476 42.8159
106.567383 88.426 39.6056
106.933594 88.376 36.4180
107.299805 88.333 33.1967
107.666016 88.296 29.8719
108.032227 88.260 26.3829
108.398438 88.214 22.6934
108.764648 88.151 18.7916
109.130859 88.061 14.6821
109.497070 87.935 10.3765
109.863281 87.766 5.8931
110.229492 87.543 1.2676
110.595703 87.256 -3.4347
110.961914 86.899 -8.1139
111.328125 86.469 -12.6440
111.694336 85.978 -16.8992
112.060547 85.441 -20.7894
112.426758 84.883 -24.2986
112.792969 84.324 -27.5002
113.159180 83.774 -30.5371
113.525391 83.227 -33.5603
113.891602 82.661 -36.6591
114.257812 82.053 -39.8162
114.624023 81.382 -42.9092
114.990234 80.644 -45.7524
115.356445 79.854 -48.1675
115.722656 79.042 -50.0693
116.088867 78.245 -51.5372
116.455078 77.484 -52.8229
116.821289 76.750 -54.2631
117.187500 76.002 -56.1420
117.553711 75.173 -58.5952
117.919922 74.187 -61.5975
118.286133 72.956 -64.9963
118.652344 71.367 -68.5206
119.018555 69.240 -71.6864
119.384766 66.235 -73.3713
119.750977 61.530 -69.5394
120.117188 53.786 -31.0135
120.483398 58.458 44.7163
120.849609 64.392 55.6682
121.215820 67.974 55.2983
121.582031 70.468 52.0323
121.948242 72.352 47.4810
122.314453 73.833 42.1372
122.680664 75.017 36.2301
123.046875 75.962 29.9181
123.413086 76.715 23.3245
123.779297 77.310 16.5272
124.145508 77.781 9.5443
124.511719 78.154 2.3324
124.877930 78.450 -5.2014
125.244141 78.680 -13.1765
125.610352 78.851 -21.7188
125.976562 78.965 -30.9470
126.342773 79.027 -40.9669
126.708984 79.044 -51.8654
127.075195 79.028 -63.7032
127.441406 79.002 -76.4998
127.807617 78.996 -90.2114
128.173828 79.046 -104.7078
128.540039 79.185 -119.7573
128.906250 79.431 -135.0425
129.272461 79.783 -150.2070
129.638672 80.218 -164.9210
130.004883 80.699 -178.9275
130.371094 81.189 167.9443
130.737305 81.659 155.7861
131.103516 82.094 144.6215
131.469727 82.489 134.4059
131.835938 82.848 125.0275
132.202148 83.170 116.3225
132.568359 83.451 108.1140
132.934570 83.672 100.2664
133.300781 83.811 92.7322
133.666992 83.845 85.5708
134.033203 83.761 78.9387
134.399414 83.559 73.0577
134.765625 83.258 68.1708
135.131836 82.895 64.4886
135.498047 82.525 62.1263
135.864258 82.212 61.0399
136.230469 82.018 60.9895
136.596680 81.982 61.5656
136.962891 82.111 62.2900
137.329102 82.375 62.7559
137.695312 82.730 62.7271
138.061523 83.124 62.1567
138.427734 83.522 61.1344
138.793945 83.903 59.8090
139.160156 84.262 58.3220
139.526367 84.604 56.7736
139.892578 84.934 55.2173
140.258789 85.260 53.6754
140.625000 85.588 52.1528
140.991211 85.923 50.6396
141.357422 86.270 49.1083
141.723633 86.630 47.5171
142.089844 87.002 45.8250
142.456055 87.381 44.0098
142.822266 87.762 42.0723
143.188477 88.144 40.0255
143.554688 88.527 37.8760
143.920898 88.913 35.6141
144.287109 89.301 33.2181
144.653320 89.690 30.6676
145.019531 90.075 27.9520
145.385742 90.454 25.0690
145.751953 90.824 22.0176
146.118164 91.183 18.7915
146.484375 91.530 15.3809
146.850586 91.859 11.7755
147.216797 92.167 7.9674
147.583008 92.447 3.9492
147.949219 92.693 -0.2833
148.315430 92.892 -4.7230
148.681641 93.034 -9.3373
149.047852 93.106 -14.0553
149.414062 93.097 -18.7666
149.780273 93.003 -23.3334
150.146484 92.829 -27.6112
150.512695 92.584 -31.4706
150.878906 92.280 -34.8048
151.245117 91.931 -37.5175
151.611328 91.553 -39.4988
151.977539 91.172 -40.6155
152.343750 90.828 -40.7511
152.709961 90.583 -39.9111
153.076172 90.504 -38.3475
153.442383 90.635 -36.5782
153.808594 90.967 -35.2155
154.174805 91.446 -34.7178
154.541016 92.000 -35.2695
154.907227 92.568 -36.8285
