* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -37,1 dBFS, measurement signal peak level -9,2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:40:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; MLP - Sub 1.5 Delay -1,0009 ms (-343 mm, -(1 ft 1,52 in)) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,4 ppm
* Measurement: MLP - Sub1.5
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 72.851 59.8456
10.253906 73.354 40.4652
10.620117 73.260 23.0452
10.986328 72.774 8.0578
11.352539 71.896 -3.3986
11.718750 70.760 -9.3291
12.084961 69.895 -7.8237
12.451172 70.156 -1.4878
12.817383 71.543 2.5710
13.183594 73.263 2.2069
13.549805 74.947 -0.3251
13.916016 76.697 -3.5030
14.282227 78.671 -7.9435
14.648438 80.793 -15.0721
15.014648 82.824 -25.3571
15.380859 84.557 -38.1712
15.747070 85.884 -52.4738
16.113281 86.771 -67.2035
16.479492 87.235 -81.3435
16.845703 87.346 -93.9079
17.211914 87.253 -104.0696
17.578125 87.189 -111.6332
17.944336 87.383 -117.6361
18.310547 87.870 -123.9870
18.676758 88.464 -131.9898
19.042969 88.937 -141.6382
19.409180 89.150 -152.1207
19.775391 89.065 -162.4223
20.141602 88.728 -171.6367
20.507812 88.250 -179.1877
20.874023 87.769 174.9368
21.240234 87.379 170.1648
21.606445 87.073 165.8074
21.972656 86.779 161.6631
22.338867 86.458 158.1075
22.705078 86.169 155.5969
23.071289 86.037 153.9868
23.437500 86.129 152.3284
23.803711 86.365 149.6054
24.169922 86.580 145.5947
24.536133 86.654 140.8884
24.902344 86.570 136.3735
25.268555 86.414 132.6736
25.634766 86.314 129.7087
26.000977 86.337 126.6824
26.367188 86.413 122.7385
26.733398 86.394 117.6771
27.099609 86.149 112.0574
27.465820 85.626 106.8966
27.832031 84.878 103.3293
28.198242 84.072 102.1645
28.564453 83.446 103.2453
28.930664 83.154 105.2471
29.296875 83.145 106.7084
29.663086 83.271 107.1102
30.029297 83.439 106.6403
30.395508 83.627 105.4543
30.761719 83.814 103.4379
31.127930 83.936 100.5027
31.494141 83.909 96.9154
31.860352 83.688 93.3178
32.226562 83.304 90.4688
32.592773 82.867 88.8195
32.958984 82.509 88.0929
33.325195 82.275 87.3571
33.691406 82.067 85.8176
34.057617 81.721 83.5246
34.423828 81.123 81.3711
34.790039 80.280 80.6993
35.156250 79.366 82.6967
35.522461 78.695 87.3184
35.888672 78.483 92.5668
36.254883 78.588 96.1198
36.621094 78.680 97.4643
36.987305 78.526 97.6630
37.353516 78.058 98.2918
37.719727 77.355 100.8744
38.085938 76.636 106.4379
38.452148 76.200 114.8193
38.818359 76.252 124.4412
39.184570 76.763 133.4790
39.550781 77.584 140.9938
39.916992 78.575 146.7490
40.283203 79.624 150.8042
40.649414 80.637 153.5057
41.015625 81.568 155.4669
41.381836 82.443 157.3067
41.748047 83.346 159.2690
42.114258 84.357 161.0195
42.480469 85.472 161.9179
42.846680 86.609 161.5823
43.212891 87.672 160.1660
43.579102 88.611 158.1981
43.945312 89.441 156.2628
44.311523 90.232 154.7068
44.677734 91.073 153.4427
45.043945 92.013 151.9777
45.410156 93.033 149.7271
45.776367 94.058 146.3750
46.142578 95.010 141.9927
46.508789 95.833 136.9228
46.875000 96.516 131.6023
47.241211 97.085 126.4087
47.607422 97.592 121.5312
47.973633 98.097 116.8846
48.339844 98.632 112.1344
48.706055 99.186 106.8716
49.072266 99.708 100.8338
49.438477 100.133 94.0196
49.804688 100.406 86.6596
50.170898 100.495 79.1215
50.537109 100.398 71.8182
50.903320 100.137 65.1327
51.269531 99.756 59.3503
51.635742 99.312 54.5970
52.001953 98.860 50.8126
52.368164 98.436 47.7983
52.734375 98.052 45.3323
53.100586 97.701 43.2796
53.466797 97.377 41.6214
53.833008 97.084 40.4012
54.199219 96.840 39.6413
54.565430 96.670 39.2784
54.931641 96.599 39.1397
55.297852 96.634 38.9647
55.664062 96.764 38.4692
56.030273 96.957 37.4330
56.396484 97.168 35.7685
56.762695 97.356 33.5369
57.128906 97.490 30.9092
57.495117 97.558 28.1004
57.861328 97.564 25.3044
58.227539 97.523 22.6514
58.593750 97.453 20.1943
58.959961 97.367 17.9288
59.326172 97.274 15.8263
59.692383 97.179 13.8619
60.058594 97.086 12.0186
60.424805 96.999 10.2744
60.791016 96.924 8.5874
61.157227 96.861 6.8971
61.523438 96.804 5.1426
61.889648 96.746 3.2881
62.255859 96.673 1.3381
62.622070 96.577 -0.6631
62.988281 96.454 -2.6488
63.354492 96.304 -4.5525
63.720703 96.134 -6.3296
64.086914 95.948 -7.9665
64.453125 95.751 -9.4728
64.819336 95.541 -10.8580
65.185547 95.313 -12.1047
65.551758 95.063 -13.1531
65.917969 94.794 -13.9104
66.284180 94.517 -14.2811
66.650391 94.251 -14.2095
67.016602 94.021 -13.7103
67.382812 93.848 -12.8717
67.749023 93.742 -11.8253
68.115234 93.708 -10.7079
68.481445 93.743 -9.6398
68.847656 93.842 -8.7271
69.213867 93.993 -8.0683
69.580078 94.183 -7.7442
69.946289 94.392 -7.7944
70.312500 94.600 -8.1993
70.678711 94.792 -8.8856
71.044922 94.960 -9.7537
71.411133 95.105 -10.7112
71.777344 95.232 -11.6978
72.143555 95.348 -12.6895
72.509766 95.457 -13.6852
72.875977 95.561 -14.6887
73.242188 95.662 -15.6970
73.608398 95.760 -16.7029
73.974609 95.858 -17.7044
74.340820 95.958 -18.7111
74.707031 96.062 -19.7418
75.073242 96.168 -20.8159
75.439453 96.273 -21.9446
75.805664 96.375 -23.1272
76.171875 96.470 -24.3517
76.538086 96.555 -25.5971
76.904297 96.631 -26.8357
77.270508 96.698 -28.0383
77.636719 96.762 -29.1840
78.002930 96.827 -30.2704
78.369141 96.899 -31.3186
78.735352 96.977 -32.3638
79.101562 97.061 -33.4368
79.467773 97.143 -34.5439
79.833984 97.219 -35.6602
80.200195 97.288 -36.7388
80.566406 97.355 -37.7321
80.932617 97.426 -38.6136
81.298828 97.513 -39.3915
81.665039 97.624 -40.1061
82.031250 97.764 -40.8177
82.397461 97.932 -41.5890
82.763672 98.126 -42.4733
83.129883 98.342 -43.5121
83.496094 98.575 -44.7390
83.862305 98.819 -46.1820
84.228516 99.066 -47.8602
84.594727 99.308 -49.7754
84.960938 99.537 -51.9062
85.327148 99.746 -54.2118
85.693359 99.934 -56.6457
86.059570 100.103 -59.1735
86.425781 100.255 -61.7832
86.791992 100.391 -64.4810
87.158203 100.510 -67.2762
87.524414 100.609 -70.1678
87.890625 100.684 -73.1413
88.256836 100.732 -76.1786
88.623047 100.754 -79.2688
88.989258 100.743 -82.4056
89.355469 100.694 -85.5668
89.721680 100.596 -88.6868
90.087891 100.446 -91.6423
90.454102 100.247 -94.2692
90.820312 100.022 -96.4122
91.186523 99.806 -98.0001
91.552734 99.641 -99.1075
91.918945 99.555 -99.9584
92.285156 99.555 -100.8458
92.651367 99.621 -102.0157
93.017578 99.721 -103.5927
93.383789 99.827 -105.5807
93.750000 99.914 -107.9080
94.116211 99.970 -110.4707
94.482422 99.990 -113.1603
94.848633 99.976 -115.8781
95.214844 99.936 -118.5485
95.581055 99.881 -121.1364
95.947266 99.823 -123.6559
96.313477 99.769 -126.1636
96.679688 99.719 -128.7299
97.045898 99.665 -131.4037
97.412109 99.598 -134.1901
97.778320 99.510 -137.0530
98.144531 99.399 -139.9379
98.510742 99.268 -142.7997
98.876953 99.122 -145.6213
99.243164 98.966 -148.4139
99.609375 98.800 -151.2030
99.975586 98.624 -154.0090
100.341797 98.431 -156.8335
100.708008 98.220 -159.6579
101.074219 97.988 -162.4536
101.440430 97.736 -165.1943
101.806641 97.469 -167.8669
102.172852 97.186 -170.4722
102.539062 96.890 -173.0172
102.905273 96.576 -175.5023
103.271484 96.244 -177.9116
103.637695 95.892 179.7885
104.003906 95.520 177.6417
104.370117 95.134 175.6865
104.736328 94.741 173.9431
105.102539 94.349 172.4078
105.468750 93.965 171.0576
105.834961 93.591 169.8629
106.201172 93.229 168.7985
106.567383 92.879 167.8506
106.933594 92.542 167.0150
107.299805 92.218 166.2919
107.666016 91.912 165.6794
108.032227 91.627 165.1690
108.398438 91.369 164.7407
108.764648 91.142 164.3606
109.130859 90.952 163.9769
109.497070 90.798 163.5209
109.863281 90.681 162.9135
110.229492 90.591 162.0790
110.595703 90.516 160.9644
110.961914 90.443 159.5543
111.328125 90.357 157.8755
111.694336 90.248 155.9875
112.060547 90.112 153.9637
112.426758 89.949 151.8695
112.792969 89.765 149.7485
113.159180 89.562 147.6191
113.525391 89.346 145.4825
113.891602 89.118 143.3329
114.257812 88.878 141.1641
114.624023 88.625 138.9717
114.990234 88.359 136.7531
115.356445 88.075 134.5145
115.722656 87.770 132.2807
116.088867 87.440 130.1043
116.455078 87.087 128.0617
116.821289 86.720 126.2336
117.187500 86.353 124.6757
117.553711 86.008 123.3926
117.919922 85.703 122.3303
118.286133 85.453 121.3895
118.652344 85.266 120.4507
119.018555 85.144 119.3923
119.384766 85.087 118.0976
119.750977 85.087 116.4581
120.117188 85.134 114.3837
120.483398 85.215 111.8160
120.849609 85.316 108.7341
121.215820 85.426 105.1461
121.582031 85.536 101.0737
121.948242 85.641 96.5413
122.314453 85.733 91.5774
122.680664 85.808 86.2253
123.046875 85.859 80.5527
123.413086 85.885 74.6522
123.779297 85.890 68.6274
124.145508 85.883 62.5710
124.511719 85.880 56.5430
124.877930 85.892 50.5607
125.244141 85.931 44.6053
125.610352 86.001 38.6432
125.976562 86.098 32.6500
126.342773 86.219 26.6236
126.708984 86.355 20.5851
127.075195 86.503 14.5674
127.441406 86.658 8.6038
127.807617 86.818 2.7220
128.173828 86.978 -3.0554
128.540039 87.136 -8.7062
128.906250 87.288 -14.2043
129.272461 87.432 -19.5191
129.638672 87.567 -24.6188
130.004883 87.695 -29.4764
130.371094 87.822 -34.0786
130.737305 87.953 -38.4312
131.103516 88.093 -42.5629
131.469727 88.245 -46.5193
131.835938 88.409 -50.3525
132.202148 88.581 -54.1050
132.568359 88.757 -57.8010
132.934570 88.933 -61.4456
133.300781 89.108 -65.0356
133.666992 89.281 -68.5740
134.033203 89.455 -72.0789
134.399414 89.629 -75.5820
134.765625 89.800 -79.1170
135.131836 89.963 -82.7057
135.498047 90.111 -86.3511
135.864258 90.239 -90.0405
136.230469 90.344 -93.7546
136.596680 90.422 -97.4745
136.962891 90.473 -101.1823
137.329102 90.493 -104.8561
137.695312 90.481 -108.4639
138.061523 90.435 -111.9637
138.427734 90.359 -115.3115
138.793945 90.256 -118.4724
139.160156 90.134 -121.4287
139.526367 89.998 -124.1783
139.892578 89.851 -126.7261
140.258789 89.697 -129.0732
140.625000 89.538 -131.2161
140.991211 89.381 -133.1534
141.357422 89.229 -134.8979
141.723633 89.088 -136.4781
142.089844 88.960 -137.9272
142.456055 88.843 -139.2683
142.822266 88.736 -140.5056
143.188477 88.640 -141.6342
143.554688 88.562 -142.6589
143.920898 88.503 -143.6094
144.287109 88.468 -144.5354
144.653320 88.452 -145.4862
145.019531 88.449 -146.4866
145.385742 88.453 -147.5298
145.751953 88.461 -148.5902
146.118164 88.475 -149.6448
146.484375 88.498 -150.6887
146.850586 88.534 -151.7377
147.216797 88.583 -152.8182
147.583008 88.647 -153.9583
147.949219 88.722 -155.1837
148.315430 88.807 -156.5216
148.681641 88.899 -158.0012
149.047852 88.991 -159.6479
149.414062 89.075 -161.4712
149.780273 89.141 -163.4551
150.146484 89.182 -165.5562
150.512695 89.194 -167.7135
150.878906 89.178 -169.8643
151.245117 89.136 -171.9574
151.611328 89.076 -173.9608
151.977539 89.003 -175.8606
152.343750 88.924 -177.6558
152.709961 88.845 -179.3583
153.076172 88.770 179.0049
153.442383 88.704 177.3877
153.808594 88.646 175.7318
