* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -36,9 dBFS, measurement signal peak level -7,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:39:33
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; MLP - Sub 1S Delay 7,3331 ms (2,515 m, 8 ft 3 in) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,2 ppm
* Measurement: MLP - Sub1S
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 86.500 -16.9244
10.253906 86.600 -40.8314
10.620117 86.014 -62.2174
10.986328 84.974 -80.3582
11.352539 83.539 -94.0571
11.718750 81.914 -101.5825
12.084961 80.633 -101.7269
12.451172 80.429 -97.1786
12.817383 81.344 -94.1574
13.183594 82.741 -95.4079
13.549805 84.183 -99.9263
13.916016 85.559 -106.3781
14.282227 86.877 -114.1578
14.648438 88.144 -123.2122
15.014648 89.323 -133.6488
15.380859 90.344 -145.4440
15.747070 91.134 -158.3431
16.113281 91.630 -171.8906
16.479492 91.793 174.5188
16.845703 91.613 161.6220
17.211914 91.118 150.2841
17.578125 90.413 141.4109
17.944336 89.703 135.5594
18.310547 89.259 132.1660
18.676758 89.213 129.3179
19.042969 89.427 125.1596
19.409180 89.635 119.2769
19.775391 89.646 112.4595
20.141602 89.396 105.9514
20.507812 88.948 101.0036
20.874023 88.489 98.4493
21.240234 88.288 97.9833
21.606445 88.504 97.8608
21.972656 89.027 96.1829
22.338867 89.602 92.3725
22.705078 90.039 87.0438
23.071289 90.266 81.2008
23.437500 90.311 75.7318
23.803711 90.266 71.1537
24.169922 90.238 67.4668
24.536133 90.295 64.2205
24.902344 90.431 60.8652
25.268555 90.592 57.1213
25.634766 90.720 53.0533
26.000977 90.790 48.9051
26.367188 90.801 44.9241
26.733398 90.771 41.2867
27.099609 90.725 38.0922
27.465820 90.695 35.3523
27.832031 90.710 32.9525
28.198242 90.783 30.6637
28.564453 90.896 28.2727
28.930664 91.016 25.7501
29.296875 91.124 23.2755
29.663086 91.241 21.0566
30.029297 91.416 19.0625
30.395508 91.678 16.9320
30.761719 91.997 14.2227
31.127930 92.298 10.7872
31.494141 92.510 6.9000
31.860352 92.617 3.0718
32.226562 92.660 -0.2668
32.592773 92.716 -3.0385
32.958984 92.838 -5.5659
33.325195 93.021 -8.2963
33.691406 93.212 -11.4377
34.057617 93.363 -14.8601
34.423828 93.462 -18.2816
34.790039 93.529 -21.5117
35.156250 93.593 -24.5582
35.522461 93.659 -27.5394
35.888672 93.716 -30.5084
36.254883 93.751 -33.3746
36.621094 93.771 -35.9891
36.987305 93.804 -38.2970
37.353516 93.873 -40.4005
37.719727 93.982 -42.4687
38.085938 94.114 -44.5906
38.452148 94.257 -46.7318
38.818359 94.414 -48.8246
39.184570 94.596 -50.8748
39.550781 94.810 -52.9683
39.916992 95.048 -55.1831
40.283203 95.300 -57.5259
40.649414 95.565 -59.9713
41.015625 95.846 -62.5458
41.381836 96.141 -65.3356
41.748047 96.427 -68.3827
42.114258 96.682 -71.5787
42.480469 96.905 -74.6917
42.846680 97.129 -77.5449
43.212891 97.403 -80.2255
43.579102 97.750 -83.1017
43.945312 98.132 -86.5500
44.311523 98.477 -90.6215
44.677734 98.724 -94.9537
45.043945 98.874 -98.9600
45.410156 98.996 -102.1658
45.776367 99.205 -104.5671
46.142578 99.584 -106.7450
46.508789 100.129 -109.4929
46.875000 100.760 -113.2701
47.241211 101.400 -118.0624
47.607422 102.010 -123.6465
47.973633 102.589 -129.8843
48.339844 103.141 -136.8221
48.706055 103.645 -144.5962
49.072266 104.058 -153.2650
49.438477 104.328 -162.7117
49.804688 104.414 -172.6521
50.170898 104.296 177.2994
50.537109 103.979 167.5546
50.903320 103.492 158.4820
51.269531 102.885 150.3375
51.635742 102.217 143.2059
52.001953 101.543 136.9866
52.368164 100.897 131.4552
52.734375 100.290 126.3766
53.100586 99.719 121.5856
53.466797 99.181 116.9800
53.833008 98.674 112.4618
54.199219 98.194 107.8995
54.565430 97.725 103.1548
54.931641 97.237 98.1499
55.297852 96.696 92.9207
55.664062 96.068 87.6285
56.030273 95.338 82.5367
56.396484 94.506 77.9689
56.762695 93.599 74.2490
57.128906 92.671 71.6066
57.495117 91.793 70.0585
57.861328 91.031 69.3376
58.227539 90.412 68.9856
58.593750 89.917 68.5909
58.959961 89.506 67.9673
59.326172 89.150 67.1269
59.692383 88.840 66.1190
60.058594 88.581 64.9042
60.424805 88.366 63.3621
60.791016 88.172 61.4014
61.157227 87.973 59.0527
61.523438 87.753 56.4530
61.889648 87.521 53.7350
62.255859 87.299 50.8981
62.622070 87.103 47.7642
62.988281 86.915 44.0757
63.354492 86.690 39.6785
63.720703 86.370 34.6495
64.086914 85.911 29.2933
64.453125 85.302 24.0358
64.819336 84.572 19.2617
65.185547 83.780 15.1387
65.551758 82.978 11.5150
65.917969 82.177 8.0291
66.284180 81.331 4.4233
66.650391 80.365 0.8187
67.016602 79.230 -2.2526
67.382812 77.939 -4.0344
67.749023 76.580 -3.8672
68.115234 75.292 -1.5213
68.481445 74.204 2.7518
68.847656 73.410 8.5527
69.213867 73.028 15.3429
69.580078 73.165 21.8046
69.946289 73.749 26.0516
70.312500 74.521 27.0875
70.678711 75.233 25.2862
71.044922 75.764 21.6235
71.411133 76.101 16.9890
71.777344 76.282 11.9301
72.143555 76.353 6.6576
72.509766 76.341 1.1941
72.875977 76.249 -4.4366
73.242188 76.076 -10.1042
73.608398 75.835 -15.6043
73.974609 75.565 -20.7882
74.340820 75.311 -25.6815
74.707031 75.104 -30.4860
75.073242 74.944 -35.4435
75.439453 74.811 -40.6785
75.805664 74.681 -46.1602
76.171875 74.544 -51.7876
76.538086 74.400 -57.4897
76.904297 74.243 -63.2432
77.270508 74.054 -68.9930
77.636719 73.809 -74.5576
78.002930 73.499 -79.6079
78.369141 73.147 -83.7699
78.735352 72.810 -86.8206
79.101562 72.553 -88.8578
79.467773 72.401 -90.2338
79.833984 72.321 -91.2020
80.200195 72.264 -91.5932
80.566406 72.237 -90.8718
80.932617 72.347 -88.6191
81.298828 72.752 -85.1783
81.665039 73.532 -81.7522
82.031250 74.609 -79.5378
82.397461 75.829 -78.9468
82.763672 77.081 -79.7610
83.129883 78.317 -81.6331
83.496094 79.522 -84.3353
83.862305 80.683 -87.7448
84.228516 81.787 -91.7473
84.594727 82.823 -96.1891
84.960938 83.792 -100.9062
85.327148 84.707 -105.7841
85.693359 85.584 -110.7946
86.059570 86.431 -115.9827
86.425781 87.249 -121.4135
86.791992 88.028 -127.1198
87.158203 88.758 -133.0854
87.524414 89.432 -139.2626
87.890625 90.047 -145.6013
88.256836 90.602 -152.0657
88.623047 91.095 -158.6265
88.989258 91.520 -165.2417
89.355469 91.875 -171.8403
89.721680 92.159 -178.3248
90.087891 92.381 175.4054
90.454102 92.555 169.4226
90.820312 92.701 163.7449
91.186523 92.834 158.3311
91.552734 92.965 153.1013
91.918945 93.097 147.9679
92.285156 93.229 142.8595
92.651367 93.353 137.7261
93.017578 93.464 132.5330
93.383789 93.554 127.2581
93.750000 93.611 121.9009
94.116211 93.623 116.4976
94.482422 93.582 111.1277
94.848633 93.485 105.9052
95.214844 93.336 100.9504
95.581055 93.152 96.3555
95.947266 92.953 92.1516
96.313477 92.757 88.3000
96.679688 92.577 84.7104
97.045898 92.416 81.2823
97.412109 92.267 77.9453
97.778320 92.122 74.6768
98.144531 91.977 71.4930
98.510742 91.831 68.4231
98.876953 91.688 65.4856
99.243164 91.553 62.6765
99.609375 91.429 59.9731
99.975586 91.319 57.3467
100.341797 91.221 54.7734
100.708008 91.135 52.2382
101.074219 91.061 49.7294
101.440430 90.999 47.2311
101.806641 90.950 44.7212
102.172852 90.912 42.1763
102.539062 90.881 39.5796
102.905273 90.855 36.9265
103.271484 90.832 34.2202
103.637695 90.811 31.4619
104.003906 90.793 28.6433
104.370117 90.776 25.7451
104.736328 90.758 22.7467
105.102539 90.734 19.6390
105.468750 90.698 16.4330
105.834961 90.647 13.1554
106.201172 90.580 9.8376
106.567383 90.501 6.4995
106.933594 90.413 3.1407
107.299805 90.317 -0.2578
107.666016 90.215 -3.7231
108.032227 90.102 -7.2782
108.398438 89.974 -10.9369
108.764648 89.828 -14.7062
109.130859 89.659 -18.5903
109.497070 89.461 -22.5903
109.863281 89.226 -26.6964
110.229492 88.945 -30.8773
110.595703 88.611 -35.0754
110.961914 88.221 -39.2107
111.328125 87.775 -43.1947
111.694336 87.280 -46.9486
112.060547 86.748 -50.4200
112.426758 86.192 -53.5973
112.792969 85.624 -56.5160
113.159180 85.052 -59.2590
113.525391 84.476 -61.9397
113.891602 83.883 -64.6659
114.257812 83.247 -67.4907
114.624023 82.539 -70.3704
114.990234 81.733 -73.1519
115.356445 80.815 -75.5983
115.722656 79.790 -77.4530
116.088867 78.681 -78.5304
116.455078 77.514 -78.7972
116.821289 76.298 -78.3793
117.187500 74.993 -77.4269
117.553711 73.505 -75.8433
117.919922 71.681 -72.8915
118.286133 69.344 -66.4152
118.652344 66.534 -50.8635
119.018555 64.940 -18.6732
119.384766 67.111 13.0608
119.750977 70.468 27.3842
120.117188 73.319 31.8489
120.483398 75.596 31.9506
120.849609 77.435 29.8899
121.215820 78.946 26.6083
121.582031 80.199 22.5619
121.948242 81.241 18.0044
122.314453 82.101 13.1053
122.680664 82.800 8.0015
123.046875 83.352 2.8160
123.413086 83.773 -2.3383
123.779297 84.080 -7.3660
124.145508 84.290 -12.2001
124.511719 84.418 -16.8092
124.877930 84.480 -21.1996
125.244141 84.482 -25.4032
125.610352 84.425 -29.4528
125.976562 84.301 -33.3494
126.342773 84.099 -37.0330
126.708984 83.809 -40.3674
127.075195 83.429 -43.1437
127.441406 82.975 -45.1058
127.807617 82.482 -46.0009
128.173828 82.009 -45.6600
128.540039 81.634 -44.1055
128.906250 81.431 -41.6377
129.272461 81.448 -38.8162
129.638672 81.677 -36.2816
130.004883 82.066 -34.5187
130.371094 82.541 -33.7238
130.737305 83.037 -33.8330
131.103516 83.515 -34.6361
131.469727 83.963 -35.8961
131.835938 84.388 -37.4431
132.202148 84.807 -39.2239
132.568359 85.233 -41.2999
132.934570 85.664 -43.7922
133.300781 86.085 -46.8029
133.666992 86.468 -50.3584
134.033203 86.790 -54.3967
134.399414 87.032 -58.7921
134.765625 87.186 -63.3920
135.131836 87.252 -68.0507
135.498047 87.237 -72.6512
135.864258 87.151 -77.1140
136.230469 87.007 -81.3960
136.596680 86.812 -85.4822
136.962891 86.573 -89.3765
137.329102 86.293 -93.0906
137.695312 85.974 -96.6351
138.061523 85.612 -100.0125
138.427734 85.203 -103.2087
138.793945 84.741 -106.1925
139.160156 84.223 -108.9148
139.526367 83.643 -111.3136
139.892578 82.994 -113.3113
140.258789 82.269 -114.7970
140.625000 81.457 -115.5894
140.991211 80.551 -115.3870
141.357422 79.563 -113.7251
141.723633 78.550 -109.9979
142.089844 77.649 -103.6649
142.456055 77.084 -94.7896
142.822266 77.068 -84.6272
143.188477 77.629 -75.2262
143.554688 78.589 -68.0667
143.920898 79.732 -63.4827
144.287109 80.909 -61.1420
144.653320 82.039 -60.5627
145.019531 83.088 -61.3180
145.385742 84.040 -63.0691
145.751953 84.895 -65.5553
146.118164 85.655 -68.5793
146.484375 86.330 -71.9987
146.850586 86.927 -75.7196
147.216797 87.456 -79.6912
147.583008 87.921 -83.8949
147.949219 88.322 -88.3276
148.315430 88.655 -92.9821
148.681641 88.912 -97.8285
149.047852 89.084 -102.8082
149.414062 89.164 -107.8350
149.780273 89.147 -112.8048
150.146484 89.031 -117.6038
150.512695 88.816 -122.1089
150.878906 88.504 -126.1788
151.245117 88.101 -129.6411
151.611328 87.620 -132.2844
151.977539 87.088 -133.8732
152.343750 86.555 -134.1968
152.709961 86.090 -133.1599
153.076172 85.780 -130.8928
