* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -38,0 dBFS, measurement signal peak level -9,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:43:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; RLP - Sub 1.5 Delay 0,6618 ms (227 mm, 8,94 in) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,3 ppm
* Measurement: RLP - Sub1.5
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 73.177 64.8207
10.253906 73.775 44.1518
10.620117 73.758 25.3086
10.986328 73.323 8.9167
11.352539 72.465 -3.7691
11.718750 71.318 -10.5771
12.084961 70.435 -9.3632
12.451172 70.744 -2.7853
12.817383 72.259 1.4591
13.183594 74.132 0.9838
13.549805 75.958 -1.9575
13.916016 77.806 -5.8116
14.282227 79.800 -10.9244
14.648438 81.889 -18.3806
15.014648 83.881 -28.5783
15.380859 85.601 -41.0243
15.747070 86.951 -54.8256
16.113281 87.899 -69.0279
16.479492 88.465 -82.7084
16.845703 88.718 -95.0016
17.211914 88.793 -105.2402
17.578125 88.885 -113.3280
17.944336 89.172 -120.1192
18.310547 89.682 -127.0826
18.676758 90.279 -135.2485
19.042969 90.786 -144.6633
19.409180 91.091 -154.7043
19.775391 91.165 -164.5610
20.141602 91.052 -173.5511
20.507812 90.839 178.6731
20.874023 90.618 172.0247
21.240234 90.429 166.1250
21.606445 90.260 160.6813
21.972656 90.084 155.7543
22.338867 89.924 151.6158
22.705078 89.862 148.2759
23.071289 89.973 145.1232
23.437500 90.229 141.2224
23.803711 90.492 136.0810
24.169922 90.614 130.0152
24.536133 90.523 123.9200
24.902344 90.257 118.8303
25.268555 89.970 115.3708
25.634766 89.862 113.1328
26.000977 90.010 110.6962
26.367188 90.285 106.7977
26.733398 90.473 101.3051
27.099609 90.427 95.0270
27.465820 90.113 89.1179
27.832031 89.613 84.6140
28.198242 89.096 81.9782
28.564453 88.736 80.7233
28.930664 88.581 79.7283
29.296875 88.538 78.2563
29.663086 88.506 76.4489
30.029297 88.479 74.8249
30.395508 88.542 73.4846
30.761719 88.755 71.7870
31.127930 89.059 68.8804
31.494141 89.301 64.4915
31.860352 89.344 59.1090
32.226562 89.124 53.6735
32.592773 88.671 49.2188
32.958984 88.111 46.5081
33.325195 87.631 45.5816
33.691406 87.368 45.5576
34.057617 87.311 45.2581
34.423828 87.339 44.1333
34.790039 87.350 42.3923
35.156250 87.323 40.4755
35.522461 87.289 38.5793
35.888672 87.277 36.5588
36.254883 87.268 34.1805
36.621094 87.217 31.4274
36.987305 87.090 28.5607
37.353516 86.896 25.9290
37.719727 86.682 23.7056
38.085938 86.494 21.7565
38.452148 86.338 19.7814
38.818359 86.179 17.6317
39.184570 85.978 15.4998
39.550781 85.747 13.7926
39.916992 85.567 12.7537
40.283203 85.543 12.0647
40.649414 85.719 10.8496
41.015625 86.031 8.2448
41.381836 86.357 3.9351
41.748047 86.600 -1.8708
42.114258 86.728 -8.7913
42.480469 86.764 -16.5906
42.846680 86.759 -25.3475
43.212891 86.759 -35.4528
43.579102 86.787 -47.4352
43.945312 86.855 -61.7109
44.311523 86.986 -78.3668
44.677734 87.227 -97.0209
45.043945 87.626 -116.7946
45.410156 88.192 -136.5013
45.776367 88.881 -155.0229
46.142578 89.623 -171.6054
46.508789 90.374 174.0910
46.875000 91.130 162.0627
47.241211 91.928 152.0006
47.607422 92.810 143.2990
47.973633 93.786 135.1656
48.339844 94.817 126.8688
48.706055 95.826 117.9677
49.072266 96.729 108.3702
49.438477 97.462 98.2473
49.804688 97.988 87.9161
50.170898 98.292 77.7562
50.537109 98.385 68.1554
50.903320 98.302 59.4625
51.269531 98.097 51.9249
51.635742 97.838 45.6132
52.001953 97.591 40.3773
52.368164 97.394 35.8983
52.734375 97.252 31.8389
53.100586 97.148 27.9879
53.466797 97.063 24.2853
53.833008 96.989 20.7386
54.199219 96.930 17.3210
54.565430 96.885 13.9388
54.931641 96.841 10.4852
55.297852 96.770 6.9306
55.664062 96.646 3.3744
56.030273 96.454 0.0297
56.396484 96.200 -2.8444
56.762695 95.915 -5.0349
57.128906 95.646 -6.4651
57.495117 95.440 -7.2448
57.861328 95.326 -7.6365
58.227539 95.307 -7.9394
58.593750 95.362 -8.3643
58.959961 95.464 -8.9820
59.326172 95.595 -9.7599
59.692383 95.750 -10.6362
60.058594 95.932 -11.5823
60.424805 96.148 -12.6242
60.791016 96.398 -13.8261
61.157227 96.677 -15.2531
61.523438 96.974 -16.9410
61.889648 97.280 -18.8871
62.255859 97.587 -21.0610
62.622070 97.894 -23.4234
62.988281 98.201 -25.9453
63.354492 98.515 -28.6227
63.720703 98.840 -31.4850
64.086914 99.180 -34.5974
64.453125 99.533 -38.0509
64.819336 99.888 -41.9424
65.185547 100.230 -46.3467
65.551758 100.533 -51.2903
65.917969 100.774 -56.7368
66.284180 100.928 -62.5867
66.650391 100.982 -68.6911
67.016602 100.928 -74.8729
67.382812 100.769 -80.9542
67.749023 100.519 -86.7855
68.115234 100.197 -92.2731
68.481445 99.822 -97.3929
68.847656 99.412 -102.1819
69.213867 98.972 -106.7025
69.580078 98.499 -110.9966
69.946289 97.988 -115.0533
70.312500 97.435 -118.8094
70.678711 96.846 -122.1812
71.044922 96.234 -125.1101
71.411133 95.616 -127.5950
71.777344 95.005 -129.6926
72.143555 94.406 -131.4829
72.509766 93.814 -133.0233
72.875977 93.225 -134.3234
73.242188 92.634 -135.3511
73.608398 92.044 -136.0602
73.974609 91.463 -136.4172
74.340820 90.901 -136.4148
74.707031 90.368 -136.0735
75.073242 89.873 -135.4368
75.439453 89.423 -134.5669
75.805664 89.020 -133.5359
76.171875 88.664 -132.4132
76.538086 88.350 -131.2559
76.904297 88.073 -130.1055
77.270508 87.827 -128.9902
77.636719 87.603 -127.9227
78.002930 87.394 -126.8944
78.369141 87.196 -125.8728
78.735352 87.006 -124.8136
79.101562 86.828 -123.6841
79.467773 86.667 -122.4802
79.833984 86.526 -121.2213
80.200195 86.402 -119.9252
80.566406 86.291 -118.5825
80.932617 86.191 -117.1518
81.298828 86.107 -115.5795
81.665039 86.048 -113.8256
82.031250 86.025 -111.8789
82.397461 86.054 -109.7593
82.763672 86.149 -107.5223
83.129883 86.325 -105.2738
83.496094 86.591 -103.1820
83.862305 86.944 -101.4556
84.228516 87.362 -100.2824
84.594727 87.813 -99.7626
84.960938 88.265 -99.8843
85.327148 88.693 -100.5488
85.693359 89.083 -101.6237
86.059570 89.433 -102.9913
86.425781 89.745 -104.5734
86.791992 90.022 -106.3270
87.158203 90.266 -108.2248
87.524414 90.474 -110.2357
87.890625 90.648 -112.3218
88.256836 90.789 -114.4511
88.623047 90.901 -116.6113
88.989258 90.982 -118.8085
89.355469 91.028 -121.0431
89.721680 91.028 -123.2739
90.087891 90.974 -125.3955
90.454102 90.867 -127.2461
90.820312 90.722 -128.6539
91.186523 90.572 -129.5066
91.552734 90.456 -129.8199
91.918945 90.411 -129.7600
92.285156 90.450 -129.5891
92.651367 90.566 -129.5625
93.017578 90.734 -129.8428
93.383789 90.928 -130.4802
93.750000 91.125 -131.4421
94.116211 91.312 -132.6532
94.482422 91.483 -134.0289
94.848633 91.641 -135.4978
95.214844 91.793 -137.0233
95.581055 91.947 -138.6172
95.947266 92.107 -140.3362
96.313477 92.269 -142.2539
96.679688 92.420 -144.4193
97.045898 92.544 -146.8235
97.412109 92.627 -149.3931
97.778320 92.661 -152.0120
98.144531 92.650 -154.5574
98.510742 92.606 -156.9374
98.876953 92.544 -159.1160
99.243164 92.480 -161.1156
99.609375 92.423 -162.9996
99.975586 92.375 -164.8402
100.341797 92.331 -166.6912
100.708008 92.286 -168.5745
101.074219 92.235 -170.4854
101.440430 92.173 -172.4043
101.806641 92.100 -174.3101
102.172852 92.017 -176.1869
102.539062 91.925 -178.0262
102.905273 91.824 -179.8228
103.271484 91.715 178.4291
103.637695 91.597 176.7383
104.003906 91.471 175.1169
104.370117 91.339 173.5791
104.736328 91.203 172.1372
105.102539 91.066 170.7972
105.468750 90.933 169.5548
105.834961 90.807 168.3958
106.201172 90.689 167.2996
106.567383 90.578 166.2471
106.933594 90.475 165.2278
107.299805 90.378 164.2422
107.666016 90.288 163.2959
108.032227 90.206 162.3914
108.398438 90.136 161.5198
108.764648 90.079 160.6597
109.130859 90.036 159.7834
109.497070 90.007 158.8657
109.863281 89.988 157.8872
110.229492 89.977 156.8345
110.595703 89.971 155.6959
110.961914 89.968 154.4609
111.328125 89.963 153.1234
111.694336 89.952 151.6881
112.060547 89.929 150.1735
112.426758 89.891 148.6090
112.792969 89.839 147.0283
113.159180 89.773 145.4602
113.525391 89.696 143.9236
113.891602 89.609 142.4290
114.257812 89.514 140.9814
114.624023 89.412 139.5864
114.990234 89.305 138.2513
115.356445 89.192 136.9865
115.722656 89.075 135.8046
116.088867 88.955 134.7219
116.455078 88.835 133.7593
116.821289 88.719 132.9390
117.187500 88.613 132.2795
117.553711 88.527 131.7859
117.919922 88.469 131.4399
118.286133 88.450 131.1954
118.652344 88.477 130.9800
119.018555 88.554 130.7017
119.384766 88.678 130.2629
119.750977 88.843 129.5759
120.117188 89.037 128.5764
120.483398 89.247 127.2317
120.849609 89.462 125.5371
121.215820 89.672 123.5055
121.582031 89.867 121.1556
121.948242 90.041 118.5083
122.314453 90.185 115.5913
122.680664 90.292 112.4487
123.046875 90.355 109.1465
123.413086 90.374 105.7659
123.779297 90.351 102.3868
124.145508 90.295 99.0667
124.511719 90.216 95.8242
124.877930 90.124 92.6411
125.244141 90.023 89.4795
125.610352 89.913 86.3065
125.976562 89.790 83.1105
126.342773 89.655 79.8986
126.708984 89.507 76.6807
127.075195 89.350 73.4531
127.441406 89.186 70.1936
127.807617 89.014 66.8721
128.173828 88.829 63.4700
128.540039 88.626 59.9913
128.906250 88.401 56.4619
129.272461 88.154 52.9137
129.638672 87.888 49.3698
130.004883 87.608 45.8344
130.371094 87.315 42.2964
130.737305 87.012 38.7379
131.103516 86.699 35.1434
131.469727 86.375 31.5013
131.835938 86.042 27.7999
132.202148 85.700 24.0239
132.568359 85.348 20.1542
132.934570 84.987 16.1722
133.300781 84.615 12.0623
133.666992 84.235 7.8069
134.033203 83.846 3.3788
134.399414 83.450 -1.2654
134.765625 83.044 -6.1819
135.131836 82.624 -11.4243
135.498047 82.180 -17.0248
135.864258 81.703 -22.9828
136.230469 81.187 -29.2655
136.596680 80.629 -35.8203
136.962891 80.035 -42.5883
137.329102 79.412 -49.5156
137.695312 78.773 -56.5557
138.061523 78.134 -63.6647
138.427734 77.512 -70.7970
138.793945 76.924 -77.9005
139.160156 76.390 -84.9189
139.526367 75.929 -91.7916
139.892578 75.553 -98.4558
140.258789 75.274 -104.8474
140.625000 75.100 -110.9105
140.991211 75.031 -116.6107
141.357422 75.069 -121.9498
141.723633 75.204 -126.9635
142.089844 75.423 -131.6992
142.456055 75.711 -136.1899
142.822266 76.051 -140.4434
143.188477 76.437 -144.4620
143.554688 76.867 -148.2784
143.920898 77.343 -151.9817
144.287109 77.858 -155.7078
144.653320 78.399 -159.5929
145.019531 78.941 -163.7181
145.385742 79.460 -168.0807
145.751953 79.937 -172.6045
146.118164 80.366 -177.1807
146.484375 80.752 178.2848
146.850586 81.107 173.8313
147.216797 81.445 169.4285
147.583008 81.771 164.9917
147.949219 82.085 160.4186
148.315430 82.376 155.6312
148.681641 82.628 150.5958
149.047852 82.829 145.3203
149.414062 82.966 139.8348
149.780273 83.033 134.1698
150.146484 83.022 128.3427
150.512695 82.921 122.3590
150.878906 82.716 116.2258
151.245117 82.382 109.9741
151.611328 81.890 103.6884
151.977539 81.201 97.5408
152.343750 80.273 91.8347
152.709961 79.061 87.0715
153.076172 77.532 84.0620
153.442383 75.691 84.1128
153.808594 73.679 89.1879
154.174805 71.988 101.1394
