* Measurement data measured by REW V5.31.3
* Source: EXCL: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), R, volume: 0,800. Timing signal peak level -38,0 dBFS, measurement signal peak level -4,7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -15,0 dBFS using an acoustic timing reference
* Dated: 30.des.2024 13:44:25
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; RLP - Sub 1S Delay 8,0021 ms (2,745 m, 9 ft 0,1 in) using IR start time relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 5,0 ppm
* Measurement: RLP - Sub1S
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.887695 86.772 -15.9947
10.253906 86.863 -39.6237
10.620117 86.272 -60.8018
10.986328 85.235 -78.8363
11.352539 83.804 -92.5765
11.718750 82.159 -100.2757
12.084961 80.810 -100.4289
12.451172 80.553 -95.2908
12.817383 81.525 -91.5281
13.183594 83.038 -92.5054
13.549805 84.585 -97.1500
13.916016 86.034 -103.8657
14.282227 87.405 -111.8778
14.648438 88.720 -121.0976
15.014648 89.951 -131.6832
15.380859 91.027 -143.6676
15.747070 91.864 -156.8132
16.113281 92.395 -170.6446
16.479492 92.577 175.4843
16.845703 92.395 162.3637
17.211914 91.884 150.9266
17.578125 91.158 142.1526
17.944336 90.450 136.6121
18.310547 90.052 133.5652
18.676758 90.087 130.8062
19.042969 90.371 126.4118
19.409180 90.610 120.1453
19.775391 90.611 112.9886
20.141602 90.322 106.3301
20.507812 89.825 101.5468
20.874023 89.348 99.5238
21.240234 89.204 99.7372
21.606445 89.549 99.9869
21.972656 90.211 98.1906
22.338867 90.896 93.9688
22.705078 91.413 88.1478
23.071289 91.706 81.7996
23.437500 91.813 75.7726
23.803711 91.818 70.5176
24.169922 91.810 66.0420
24.536133 91.842 62.0382
24.902344 91.917 58.1620
25.268555 92.011 54.2451
25.634766 92.102 50.2876
26.000977 92.180 46.3344
26.367188 92.239 42.4151
26.733398 92.266 38.5970
27.099609 92.261 35.0408
27.465820 92.244 31.9331
27.832031 92.263 29.2973
28.198242 92.357 26.8644
28.564453 92.520 24.2159
28.930664 92.692 21.1333
29.296875 92.813 17.7975
29.663086 92.867 14.6543
30.029297 92.905 12.0634
30.395508 93.005 9.9656
30.761719 93.212 7.8617
31.127930 93.488 5.2167
31.494141 93.749 1.8945
31.860352 93.933 -1.8008
32.226562 94.029 -5.4027
32.592773 94.081 -8.5930
32.958984 94.143 -11.3654
33.325195 94.245 -13.9505
33.691406 94.381 -16.5789
34.057617 94.528 -19.3141
34.423828 94.674 -22.0963
34.790039 94.825 -24.8884
35.156250 94.982 -27.7443
35.522461 95.135 -30.7328
35.888672 95.264 -33.8197
36.254883 95.357 -36.8473
36.621094 95.425 -39.6384
36.987305 95.497 -42.1320
37.353516 95.596 -44.4199
37.719727 95.724 -46.6432
38.085938 95.869 -48.8521
38.452148 96.022 -50.9814
38.818359 96.198 -52.9629
39.184570 96.416 -54.8459
39.550781 96.686 -56.7937
39.916992 96.994 -58.9538
40.283203 97.321 -61.3555
40.649414 97.655 -63.9449
41.015625 98.001 -66.7005
41.381836 98.359 -69.6845
41.748047 98.714 -72.9651
42.114258 99.045 -76.4978
42.480469 99.341 -80.1132
42.846680 99.621 -83.6544
43.212891 99.918 -87.1572
43.579102 100.246 -90.8849
43.945312 100.573 -95.1200
44.311523 100.827 -99.8677
44.677734 100.950 -104.7297
45.043945 100.937 -109.0182
45.410156 100.866 -112.0701
45.776367 100.893 -113.7249
46.142578 101.159 -114.6866
46.508789 101.681 -116.1624
46.875000 102.349 -118.9496
47.241211 103.033 -123.0649
47.607422 103.670 -128.1211
47.973633 104.260 -133.8024
48.339844 104.818 -140.0680
48.706055 105.342 -147.0721
49.072266 105.793 -154.9426
49.438477 106.115 -163.6166
49.804688 106.260 -172.8230
50.170898 106.205 177.8399
50.537109 105.952 168.8057
50.903320 105.533 160.4520
51.269531 104.997 153.0255
51.635742 104.399 146.5958
52.001953 103.787 141.0712
52.368164 103.187 136.2859
52.734375 102.608 132.1049
53.100586 102.054 128.4632
53.466797 101.537 125.3258
53.833008 101.069 122.6259
54.199219 100.661 120.2543
54.565430 100.317 118.0983
54.931641 100.036 116.0686
55.297852 99.822 114.0737
55.664062 99.675 111.9784
56.030273 99.585 109.6169
56.396484 99.526 106.8678
56.762695 99.463 103.7258
57.128906 99.370 100.3068
57.495117 99.236 96.7896
57.861328 99.065 93.3402
58.227539 98.872 90.0612
58.593750 98.675 86.9818
58.959961 98.487 84.0801
59.326172 98.316 81.3111
59.692383 98.168 78.6226
60.058594 98.043 75.9608
60.424805 97.941 73.2792
60.791016 97.857 70.5526
61.157227 97.788 67.7829
61.523438 97.736 64.9798
61.889648 97.708 62.1253
62.255859 97.708 59.1500
62.622070 97.734 55.9517
62.988281 97.772 52.4529
63.354492 97.801 48.6549
63.720703 97.809 44.6414
64.086914 97.796 40.5251
64.453125 97.778 36.3646
64.819336 97.771 32.1044
65.185547 97.782 27.5868
65.551758 97.796 22.6392
65.917969 97.782 17.1782
66.284180 97.704 11.2589
66.650391 97.536 5.0516
67.016602 97.271 -1.2235
67.382812 96.916 -7.3672
67.749023 96.489 -13.2493
68.115234 96.010 -18.8243
68.481445 95.495 -24.1102
68.847656 94.950 -29.1462
69.213867 94.376 -33.9553
69.580078 93.770 -38.5278
69.946289 93.131 -42.8243
70.312500 92.462 -46.7853
70.678711 91.769 -50.3384
71.044922 91.067 -53.4158
71.411133 90.377 -55.9924
71.777344 89.726 -58.1328
72.143555 89.130 -60.0037
72.509766 88.587 -61.8102
72.875977 88.075 -63.6840
73.242188 87.567 -65.6116
73.608398 87.050 -67.4620
73.974609 86.533 -69.0946
74.340820 86.037 -70.4675
74.707031 85.582 -71.6689
75.073242 85.170 -72.8461
75.439453 84.786 -74.0950
75.805664 84.416 -75.4117
76.171875 84.051 -76.7316
76.538086 83.693 -77.9996
76.904297 83.346 -79.1996
77.270508 83.012 -80.3279
77.636719 82.689 -81.3575
78.002930 82.385 -82.2466
78.369141 82.110 -82.9904
78.735352 81.876 -83.6562
79.101562 81.679 -84.3442
79.467773 81.507 -85.0946
79.833984 81.345 -85.8329
80.200195 81.197 -86.4191
80.566406 81.089 -86.7718
80.932617 81.049 -86.9678
81.298828 81.090 -87.2138
81.665039 81.200 -87.7006
82.031250 81.356 -88.4777
82.397461 81.543 -89.4699
82.763672 81.771 -90.6071
83.129883 82.056 -91.9415
83.496094 82.404 -93.6479
83.862305 82.798 -95.9061
84.228516 83.204 -98.7780
84.594727 83.593 -102.1835
84.960938 83.953 -105.9714
85.327148 84.287 -110.0119
85.693359 84.604 -114.2520
86.059570 84.913 -118.7076
86.425781 85.210 -123.4149
86.791992 85.491 -128.3831
87.158203 85.747 -133.5830
87.524414 85.976 -138.9708
87.890625 86.177 -144.5168
88.256836 86.352 -150.2141
88.623047 86.494 -156.0580
88.989258 86.595 -162.0159
89.355469 86.648 -168.0090
89.721680 86.654 -173.9257
90.087891 86.620 -179.6575
90.454102 86.565 174.8577
90.820312 86.505 169.6116
91.186523 86.454 164.5375
91.552734 86.416 159.5513
91.918945 86.387 154.5913
92.285156 86.362 149.6333
92.651367 86.338 144.6724
93.017578 86.314 139.6992
93.383789 86.287 134.6925
93.750000 86.252 129.6354
94.116211 86.200 124.5408
94.482422 86.125 119.4614
94.848633 86.027 114.4722
95.214844 85.916 109.6317
95.581055 85.804 104.9458
95.947266 85.704 100.3547
96.313477 85.619 95.7568
96.679688 85.540 91.0547
97.045898 85.455 86.1953
97.412109 85.346 81.1827
97.778320 85.202 76.0649
98.144531 85.014 70.9102
98.510742 84.778 65.7897
98.876953 84.492 60.7722
99.243164 84.157 55.9297
99.609375 83.775 51.3391
99.975586 83.353 47.0797
100.341797 82.902 43.2177
100.708008 82.436 39.7867
101.074219 81.972 36.7782
101.440430 81.521 34.1477
101.806641 81.090 31.8392
102.172852 80.683 29.8068
102.539062 80.303 28.0168
102.905273 79.956 26.4293
103.271484 79.646 24.9800
103.637695 79.372 23.5837
104.003906 79.129 22.1658
104.370117 78.906 20.6892
104.736328 78.693 19.1581
105.102539 78.487 17.5894
105.468750 78.285 15.9810
105.834961 78.085 14.3085
106.201172 77.879 12.5496
106.567383 77.652 10.7214
106.933594 77.393 8.8948
107.299805 77.096 7.1830
107.666016 76.765 5.7120
108.032227 76.409 4.5984
108.398438 76.048 3.9319
108.764648 75.707 3.7618
109.130859 75.418 4.0624
109.497070 75.212 4.6919
109.863281 75.111 5.3846
110.229492 75.110 5.8153
110.595703 75.180 5.7129
110.961914 75.276 4.9476
111.328125 75.354 3.5402
111.694336 75.382 1.6150
112.060547 75.339 -0.6631
112.426758 75.222 -3.1431
112.792969 75.029 -5.7294
113.159180 74.764 -8.4037
113.525391 74.414 -11.2087
113.891602 73.950 -14.1864
114.257812 73.318 -17.2766
114.624023 72.447 -20.2092
114.990234 71.255 -22.3837
115.356445 69.669 -22.6827
115.722656 67.676 -19.1044
116.088867 65.518 -8.4022
116.455078 64.148 11.5831
116.821289 64.665 34.0211
117.187500 66.430 49.5951
117.553711 68.391 58.4329
117.919922 70.225 63.3124
118.286133 71.914 65.8042
118.652344 73.477 66.5859
119.018555 74.923 66.0046
119.384766 76.247 64.3265
119.750977 77.449 61.7942
120.117188 78.533 58.6179
120.483398 79.509 54.9581
120.849609 80.386 50.9211
121.215820 81.174 46.5659
121.582031 81.876 41.9244
121.948242 82.488 37.0283
122.314453 83.006 31.9326
122.680664 83.424 26.7281
123.046875 83.737 21.5387
123.413086 83.951 16.5043
123.779297 84.076 11.7571
124.145508 84.129 7.3978
124.511719 84.129 3.4792
124.877930 84.094 0.0079
125.244141 84.037 -3.0377
125.610352 83.966 -5.6759
125.976562 83.886 -7.8953
126.342773 83.804 -9.6466
126.708984 83.737 -10.8657
127.075195 83.713 -11.5209
127.441406 83.767 -11.6760
127.807617 83.933 -11.5320
128.173828 84.229 -11.4080
128.540039 84.643 -11.6511
128.906250 85.143 -12.5297
129.272461 85.685 -14.1689
129.638672 86.225 -16.5591
130.004883 86.731 -19.5956
130.371094 87.179 -23.1216
130.737305 87.558 -26.9604
131.103516 87.867 -30.9384
131.469727 88.118 -34.9091
131.835938 88.325 -38.7799
132.202148 88.510 -42.5336
132.568359 88.687 -46.2278
132.934570 88.863 -49.9645
133.300781 89.031 -53.8361
133.666992 89.177 -57.8801
134.033203 89.286 -62.0647
134.399414 89.351 -66.3093
134.765625 89.372 -70.5233
135.131836 89.355 -74.6415
135.498047 89.311 -78.6399
135.864258 89.246 -82.5311
136.230469 89.164 -86.3430
136.596680 89.066 -90.1019
136.962891 88.949 -93.8247
137.329102 88.812 -97.5222
137.695312 88.649 -101.1995
138.061523 88.457 -104.8530
138.427734 88.229 -108.4626
138.793945 87.960 -111.9893
139.160156 87.646 -115.3822
139.526367 87.287 -118.5886
139.892578 86.881 -121.5588
140.258789 86.427 -124.2356
140.625000 85.921 -126.5364
140.991211 85.363 -128.3381
141.357422 84.761 -129.4799
141.723633 84.131 -129.7847
142.089844 83.506 -129.0963
142.456055 82.930 -127.3195
142.822266 82.458 -124.4657
143.188477 82.152 -120.7034
143.554688 82.062 -116.3970
143.920898 82.212 -112.0720
144.287109 82.585 -108.2795
144.653320 83.131 -105.4318
145.019531 83.783 -103.7255
145.385742 84.483 -103.1698
145.751953 85.183 -103.6593
146.118164 85.852 -105.0353
146.484375 86.471 -107.1302
146.850586 87.030 -109.7958
147.216797 87.525 -112.9189
147.583008 87.955 -116.4198
147.949219 88.312 -120.2317
148.315430 88.590 -124.2759
148.681641 88.781 -128.4438
149.047852 88.884 -132.6028
149.414062 88.902 -136.6146
149.780273 88.843 -140.3610
150.146484 88.721 -143.7504
150.512695 88.543 -146.7013
150.878906 88.321 -149.1074
151.245117 88.072 -150.8224
151.611328 87.833 -151.7007
151.977539 87.659 -151.7134
152.343750 87.615 -151.0762
152.709961 87.735 -150.2554
153.076172 88.006 -149.7695
153.442383 88.375 -149.9381
